85
1: 0(0)->19(597)->0(807)
52: 0(0)->55(178)->33(296)->627(389)->249(504)->30(609)->307(702)->792(799)->712(980)->50(1075)->261(1168)->0(1485)
53: 0(0)->446(115)->304(208)->441(447)->467(580)->597(673)->306(766)->165(859)->708(991)->76(1160)->563(1256)->0(1514)
54: 0(0)->698(227)->302(319)->313(522)->635(631)->262(724)->705(821)->399(935)->373(1032)->425(1215)->146(1312)->0(1517)
55: 0(0)->137(172)->310(339)->375(433)->320(530)->628(626)->447(717)->522(810)->638(905)->473(1118)->337(1213)->0(1538)
56: 0(0)->617(180)->133(357)->98(473)->216(602)->785(697)->567(788)->154(883)->296(976)->540(1171)->482(1293)->0(1601)
57: 0(0)->169(151)->736(506)->149(653)->390(747)->142(839)->413(931)->751(1025)->432(1121)->580(1234)->407(1417)->0(1632)
58: 0(0)->297(169)->740(393)->368(485)->462(578)->90(697)->31(794)->405(890)->354(986)->657(1165)->490(1371)->0(1630)
59: 0(0)->46(114)->574(282)->520(399)->549(493)->148(588)->422(683)->12(856)->464(1023)->67(1114)->182(1318)->0(1630)
60: 0(0)->538(139)->256(230)->561(488)->504(594)->733(755)->768(850)->623(941)->406(1057)->275(1149)->340(1334)->0(1657)
61: 0(0)->199(67)->123(265)->6(404)->78(501)->565(595)->649(691)->223(813)->709(909)->2(1004)->778(1100)->774(1195)->0(1378)
62: 0(0)->546(65)->115(157)->278(344)->99(437)->372(534)->153(631)->350(795)->96(888)->228(999)->596(1097)->18(1258)->0(1426)
63: 0(0)->162(90)->222(335)->370(428)->63(520)->374(612)->632(704)->495(808)->592(901)->686(999)->267(1095)->602(1218)->0(1442)
64: 0(0)->174(62)->400(155)->176(339)->716(438)->338(531)->206(697)->647(790)->323(881)->715(976)->575(1068)->136(1251)->0(1516)
65: 0(0)->418(86)->276(177)->762(413)->651(526)->748(627)->570(724)->653(822)->569(951)->376(1100)->386(1234)->411(1325)->0(1543)
66: 0(0)->226(107)->13(200)->726(433)->221(555)->158(648)->408(741)->61(833)->242(928)->497(1044)->10(1138)->97(1271)->0(1546)
67: 0(0)->129(94)->163(307)->299(438)->759(545)->21(637)->437(731)->523(857)->755(953)->282(1048)->94(1140)->414(1282)->0(1554)
68: 0(0)->516(129)->668(342)->434(493)->381(588)->703(684)->128(780)->659(873)->396(964)->456(1058)->239(1199)->760(1294)->0(1581)
69: 0(0)->235(124)->714(317)->436(412)->268(545)->603(639)->353(732)->793(825)->214(919)->671(1010)->669(1104)->460(1298)->0(1581)
70: 0(0)->87(194)->120(451)->645(544)->218(664)->84(758)->404(849)->735(945)->455(1040)->317(1133)->697(1225)->105(1316)->0(1611)
71: 0(0)->672(93)->492(184)->364(423)->42(519)->207(612)->704(706)->85(800)->685(897)->202(989)->360(1124)->387(1325)->0(1632)
72: 0(0)->489(84)->56(313)->49(407)->185(503)->93(597)->345(692)->476(787)->416(882)->167(1020)->200(1190)->166(1379)->0(1636)
73: 0(0)->674(109)->675(399)->535(540)->251(645)->515(738)->252(835)->367(929)->60(1023)->301(1143)->135(1246)->756(1382)->0(1644)
74: 0(0)->159(101)->269(383)->773(508)->186(600)->339(692)->798(784)->234(882)->754(1045)->29(1137)->260(1267)->634(1376)->0(1650)
75: 0(0)->38(96)->27(331)->134(426)->786(517)->187(610)->192(707)->11(802)->448(894)->287(985)->86(1078)->104(1170)->717(1261)->0(1454)
76: 0(0)->291(128)->384(222)->763(444)->670(582)->196(676)->678(768)->784(860)->684(953)->355(1046)->742(1141)->118(1234)->325(1331)->0(1558)
77: 0(0)->583(166)->641(259)->528(354)->493(456)->531(553)->383(647)->292(741)->454(839)->731(931)->82(1023)->599(1137)->151(1282)->0(1587)
78: 0(0)->615(103)->117(361)->397(456)->788(551)->327(642)->629(737)->331(835)->357(955)->426(1079)->152(1175)->361(1299)->385(1391)->0(1586)
79: 0(0)->700(196)->468(308)->179(430)->433(524)->161(647)->463(746)->112(845)->365(936)->739(1027)->309(1121)->35(1213)->227(1310)->0(1608)
80: 0(0)->560(172)->41(312)->796(405)->378(500)->213(594)->103(691)->303(783)->358(876)->380(970)->47(1103)->344(1199)->348(1315)->0(1618)
81: 0(0)->377(120)->277(213)->74(369)->398(464)->558(582)->720(675)->609(767)->318(859)->420(954)->205(1078)->728(1191)->541(1335)->0(1641)
82: 0(0)->732(70)->644(286)->777(410)->527(505)->315(599)->753(694)->253(832)->532(926)->311(1019)->22(1112)->701(1205)->392(1456)->0(1642)
83: 0(0)->201(98)->779(310)->750(402)->168(498)->725(635)->521(727)->220(821)->568(917)->363(1011)->244(1108)->204(1199)->238(1387)->0(1654)
84: 0(0)->676(73)->147(217)->329(328)->511(425)->290(523)->423(616)->274(707)->80(800)->428(892)->236(983)->472(1078)->26(1170)->591(1262)->419(1365)->0(1552)
85: 0(0)->656(51)->487(150)->658(242)->150(354)->243(447)->141(538)->298(631)->749(727)->101(823)->578(917)->618(1012)->266(1110)->403(1203)->525(1411)->0(1585)
48276.05232140134
